epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0018,1.21192,1.02668,1.57017,0.85113,0.80592,0.86383,0.49466,1.56373,0.95706,1.94222,0.06725,0.000330808,0.000330808
2,168.728,1.19471,0.97717,1.52935,0.84376,0.78708,0.87503,0.50295,1.46308,1.01842,1.85362,0.0342434,0.000657566,0.000657566
3,250.823,1.22797,1.01755,1.56305,0.80457,0.75708,0.83527,0.44872,1.55218,1.15345,1.89222,0.00123025,0.000977725,0.000977725
4,332.62,1.19566,0.99332,1.54067,0.82517,0.84111,0.88066,0.5006,1.53592,0.98936,1.91906,0.0009703,0.0009703,0.0009703
5,414.323,1.22614,1.02507,1.565,0.7657,0.75124,0.83399,0.50203,1.41584,1.1163,1.77406,0.0009604,0.0009604,0.0009604
6,495.998,1.18183,0.9784,1.53459,0.8705,0.8342,0.87858,0.50449,1.55415,0.92628,1.88191,0.0009505,0.0009505,0.0009505
7,578.069,1.19841,0.9801,1.54144,0.8051,0.78941,0.82951,0.48021,1.53211,1.00351,1.89982,0.0009406,0.0009406,0.0009406
8,659.711,1.16125,0.90926,1.5008,0.84993,0.82233,0.88728,0.50392,1.58223,0.88999,2.06163,0.0009307,0.0009307,0.0009307
9,741.63,1.15291,0.93483,1.49133,0.88833,0.83312,0.89289,0.49942,1.62741,0.882,1.99179,0.0009208,0.0009208,0.0009208
10,823.402,1.15485,0.92108,1.50151,0.84524,0.77606,0.87389,0.5159,1.52317,0.98626,1.89559,0.0009109,0.0009109,0.0009109
11,905.289,1.16416,0.91717,1.51886,0.85735,0.86901,0.89307,0.49676,1.54542,0.90241,1.93048,0.000901,0.000901,0.000901
12,987.133,1.1273,0.86546,1.48605,0.82264,0.78615,0.85421,0.49726,1.44375,0.9231,1.8464,0.0008911,0.0008911,0.0008911
13,1068.86,1.12695,0.87527,1.48299,0.8829,0.82197,0.88935,0.50706,1.51606,0.83706,1.92539,0.0008812,0.0008812,0.0008812
14,1150.59,1.11144,0.84926,1.47169,0.8594,0.84888,0.89562,0.53191,1.4621,0.83004,1.83942,0.0008713,0.0008713,0.0008713
15,1232.4,1.11072,0.84261,1.47274,0.89236,0.88327,0.90792,0.52465,1.51889,0.81045,1.91466,0.0008614,0.0008614,0.0008614
16,1314.06,1.09906,0.7971,1.45403,0.88355,0.84987,0.8906,0.53478,1.45164,0.81811,1.83749,0.0008515,0.0008515,0.0008515
17,1395.91,1.10701,0.83305,1.46867,0.85554,0.87003,0.89642,0.5071,1.54074,0.82379,1.94244,0.0008416,0.0008416,0.0008416
18,1477.62,1.08953,0.82312,1.44487,0.85934,0.83672,0.89172,0.4942,1.61972,0.85816,1.98683,0.0008317,0.0008317,0.0008317
19,1559.21,1.08273,0.79505,1.43722,0.82796,0.83494,0.86841,0.50794,1.50947,0.85545,1.94341,0.0008218,0.0008218,0.0008218
20,1640.93,1.06886,0.79972,1.4503,0.88009,0.88108,0.90658,0.52689,1.53606,0.79331,1.93799,0.0008119,0.0008119,0.0008119
21,1722.44,1.06657,0.78321,1.43362,0.87664,0.88357,0.90658,0.54649,1.42332,0.75353,1.83352,0.000802,0.000802,0.000802
