epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7905,1.38826,6.75581,1.42181,0.13459,0.30043,0.13376,0.10542,1.08465,3.17749,1.11317,0.07822,0.00022,0.00022
2,36.9863,0.64273,1.54974,0.90322,0.41943,0.65927,0.42379,0.37794,0.51579,1.84067,0.84238,0.0554455,0.000445545,0.000445545
3,52.316,0.61903,1.15766,0.89945,0.49315,0.6396,0.61601,0.55515,0.47617,1.62907,0.82044,0.0326665,0.000666536,0.000666536
4,67.8217,0.58678,0.97433,0.87232,0.78172,0.72721,0.81229,0.73254,0.44727,0.81823,0.80467,0.00988297,0.000882973,0.000882973
5,83.6763,0.56773,0.80797,0.87427,0.7357,0.87683,0.86052,0.77197,0.4523,0.68043,0.80993,0.0009604,0.0009604,0.0009604
6,99.9375,0.55611,0.71565,0.86159,0.86381,0.87689,0.87846,0.79415,0.44305,0.66451,0.81178,0.0009505,0.0009505,0.0009505
7,116.061,0.54156,0.66044,0.86371,0.85406,0.92105,0.92582,0.84512,0.40609,0.53118,0.80434,0.0009406,0.0009406,0.0009406
8,131.816,0.52635,0.66575,0.84973,0.88572,0.90358,0.9509,0.86902,0.39435,0.4834,0.80001,0.0009307,0.0009307,0.0009307
9,147.585,0.52937,0.63823,0.86134,0.90805,0.94023,0.9742,0.89345,0.39497,0.50368,0.79726,0.0009208,0.0009208,0.0009208
10,163.558,0.50791,0.59822,0.85351,0.91,0.89191,0.94503,0.87186,0.38614,0.46062,0.79352,0.0009109,0.0009109,0.0009109
11,179.4,0.4871,0.5576,0.84748,0.93924,0.88081,0.93844,0.87052,0.37069,0.42679,0.79052,0.000901,0.000901,0.000901
12,195.332,0.46856,0.51709,0.84176,0.94821,0.96453,0.97511,0.90002,0.36004,0.37133,0.78725,0.0008911,0.0008911,0.0008911
13,211.233,0.47758,0.51807,0.83957,0.91757,0.94775,0.95654,0.90282,0.34812,0.39166,0.78816,0.0008812,0.0008812,0.0008812
14,227.187,0.47948,0.50693,0.84876,0.96997,0.93521,0.96486,0.90136,0.34614,0.36075,0.78477,0.0008713,0.0008713,0.0008713
15,242.898,0.47218,0.49851,0.83818,0.93914,0.95144,0.96914,0.8978,0.37321,0.35521,0.79258,0.0008614,0.0008614,0.0008614
16,258.621,0.46146,0.48545,0.84315,0.96413,0.9511,0.97978,0.91121,0.35705,0.34785,0.78814,0.0008515,0.0008515,0.0008515
17,274.67,0.48006,0.48057,0.84369,0.98115,0.94639,0.9818,0.91535,0.35205,0.35524,0.78427,0.0008416,0.0008416,0.0008416
18,290.564,0.46273,0.45857,0.84149,0.97743,0.944,0.96976,0.911,0.35942,0.35417,0.78417,0.0008317,0.0008317,0.0008317
19,306.325,0.46859,0.44109,0.84334,0.95491,0.9446,0.96332,0.89794,0.34361,0.33674,0.78595,0.0008218,0.0008218,0.0008218
20,322.041,0.46188,0.43738,0.83147,0.96681,0.95206,0.96745,0.89903,0.36477,0.32504,0.78851,0.0008119,0.0008119,0.0008119
21,337.752,0.44801,0.41537,0.83579,0.9814,0.95231,0.98321,0.92473,0.32613,0.31716,0.7814,0.000802,0.000802,0.000802
22,353.82,0.46528,0.43226,0.84386,0.9675,0.96284,0.97778,0.9086,0.34573,0.3268,0.78348,0.0007921,0.0007921,0.0007921
23,369.566,0.43064,0.41098,0.82662,0.95797,0.97235,0.97862,0.91956,0.33758,0.3284,0.7802,0.0007822,0.0007822,0.0007822
24,385.244,0.43281,0.38529,0.83025,0.97564,0.98448,0.99145,0.93746,0.32754,0.30094,0.78012,0.0007723,0.0007723,0.0007723
25,401.033,0.44531,0.40777,0.8362,0.96863,0.97332,0.98404,0.92824,0.34846,0.3229,0.78125,0.0007624,0.0007624,0.0007624
26,416.739,0.43343,0.38537,0.83262,0.95616,0.9812,0.98569,0.93278,0.33788,0.28266,0.78145,0.0007525,0.0007525,0.0007525
27,432.633,0.44888,0.40888,0.84311,0.95646,0.97558,0.98457,0.93217,0.3344,0.34352,0.78271,0.0007426,0.0007426,0.0007426
28,448.322,0.4265,0.37648,0.82966,0.99119,0.97055,0.99167,0.93575,0.33336,0.30092,0.7838,0.0007327,0.0007327,0.0007327
29,463.995,0.42615,0.37536,0.82675,0.97717,0.98159,0.99194,0.94303,0.32192,0.27717,0.78144,0.0007228,0.0007228,0.0007228
30,479.837,0.42963,0.38822,0.82769,0.98,0.98352,0.99004,0.9375,0.33419,0.2913,0.78203,0.0007129,0.0007129,0.0007129
31,495.589,0.42799,0.37492,0.82805,0.98593,0.95414,0.98718,0.93716,0.32184,0.27932,0.78,0.000703,0.000703,0.000703
32,511.6,0.40479,0.36772,0.8206,0.98426,0.95211,0.98677,0.94274,0.31272,0.28348,0.78047,0.0006931,0.0006931,0.0006931
33,527.326,0.4192,0.38479,0.82912,0.98138,0.95325,0.98402,0.93587,0.32162,0.26824,0.78079,0.0006832,0.0006832,0.0006832
34,543.104,0.39916,0.36668,0.81857,0.96913,0.98663,0.9874,0.94234,0.30943,0.26196,0.77819,0.0006733,0.0006733,0.0006733
35,558.904,0.41451,0.37659,0.82933,0.96951,0.98258,0.98804,0.93846,0.31387,0.27672,0.77952,0.0006634,0.0006634,0.0006634
36,574.665,0.41013,0.37511,0.82996,0.96549,0.98071,0.98988,0.9373,0.32459,0.28193,0.78068,0.0006535,0.0006535,0.0006535
37,590.59,0.40509,0.34643,0.82725,0.96988,0.9651,0.98147,0.92927,0.32452,0.30597,0.78176,0.0006436,0.0006436,0.0006436
38,606.362,0.41193,0.36871,0.82649,0.97675,0.95825,0.97673,0.93016,0.31905,0.2806,0.78095,0.0006337,0.0006337,0.0006337
39,622.155,0.39048,0.34032,0.82532,0.98401,0.98758,0.99095,0.94481,0.30758,0.25502,0.77967,0.0006238,0.0006238,0.0006238
